contract_id,contract_no,vendor_id,vendor_name,enterprise_id_kaori,contract_type,description,signed_at,start_at,end_at,value_vnd,currency,payment_terms_days,payment_schedule,status,signed_by_vendor,vendor_signer_title,signed_by_us,us_signer_title,attachment_uri,renewal_type,note
HD-NCC-2026-001,NCC-FPT-MSA-2018-001,NCC-2026-001,FPT Software JSC,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,framework_msa,"Master Service Agreement — gia công phần mềm dài hạn",2018-04-15,2018-05-01,2028-04-30,N/A (per-SOW),VND,45,quarterly,active,Nguyễn Quốc Bảo,Managing Partner,Đại diện Kaori,CEO,s3://kaori-vendors/NCC-FPT-MSA-2018-001.pdf,manual,MSA — mọi SOW đính kèm dưới đây.
HD-NCC-2026-002,NCC-FPT-SOW-2026-007,NCC-2026-001,FPT Software JSC,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,sow_under_msa,"SOW #7 — Module RAG + DocSage (P15-S11)",2026-04-01,2026-04-15,2026-09-15,840000000,VND,45,milestone,active,Nguyễn Quốc Bảo,Managing Partner,Hoàng Văn Em,COO,s3://kaori-vendors/NCC-FPT-SOW-2026-007.pdf,manual,SOW dưới MSA-2018-001. 4 milestones × 210M.
HD-NCC-2026-003,NCC-VNG-2023-005,NCC-2026-002,VNG Cloud,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,saas_subscription,"Cloud backup + CDN — pay-as-you-go",2023-06-20,2023-07-01,2026-06-30,N/A (usage),VND,30,monthly,active,Trần Văn Cảnh,VP Sales,Hoàng Văn Em,COO,s3://kaori-vendors/NCC-VNG-2023-005.pdf,auto_renew,Backup provider — bill theo usage.
HD-NCC-2026-004,NCC-ANTH-2025-001,NCC-2026-003,Anthropic PBC,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,api_subscription,"Claude API — Tier 3 enterprise commit",2025-10-05,2025-10-15,2026-10-14,N/A (tokens),USD,15,monthly,active,Anthropic Sales,Sales Director,Hoàng Văn Em,COO,s3://kaori-vendors/NCC-ANTH-2025-001.pdf,manual,Foreign vendor — billed USD via wire. ~50K USD/tháng.
HD-NCC-2026-005,NCC-DATAX-2026-001,NCC-2026-004,DataX Vietnam JSC,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,consulting,"Data Quality audit — 6 tuần",2026-04-15,2026-05-01,2026-06-15,180000000,VND,30,milestone,under_review,,,,,,manual,Vendor mới — chờ legal + procurement review.
HD-NCC-2026-006,NCC-VINAI-2024-002,NCC-2026-005,VinAI Research,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,saas_subscription,"Qwen Vietnamese fine-tune hosting",2024-09-25,2024-10-01,2026-09-30,360000000,VND,30,monthly,active,Phạm Thanh Long,Head of Engineering,Hoàng Văn Em,COO,s3://kaori-vendors/NCC-VINAI-2024-002.pdf,manual,Strategic partner — internal pricing.
HD-NCC-2026-007,NCC-SG-2022-003,NCC-2026-006,SendGrid (Twilio),f90e0cdb-dc0c-4b91-b86a-92c824aa1103,api_subscription,"Transactional email — Premier tier",2022-11-15,2022-12-01,2025-11-30,N/A (volume),USD,15,monthly,expired,SendGrid Sales,VP Sales,Hoàng Văn Em,COO,s3://kaori-vendors/NCC-SG-2022-003.pdf,auto_renew,Hết hạn 2025-11-30. Đang đàm phán renew + bump tier.
HD-NCC-2026-008,NCC-SAIGON-2023-001,NCC-2026-007,Saigon Logistics & Cargo,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,outsourcing,"Vận chuyển + kho bãi cho VinMart KH-002",2023-02-20,2023-03-01,2026-02-28,1800000000,VND,30,monthly,active,Đặng Văn Em,COO,Hoàng Văn Em,COO,s3://kaori-vendors/NCC-SAIGON-2023-001.pdf,manual,Sub-vendor — bill thông qua MSA-VG-001.
HD-NCC-2026-009,NCC-MSB-2020-001,NCC-2026-008,Maritime Bank Corporate,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,banking_services,"Corporate banking + FX hedging",2020-05-10,2020-06-01,2030-05-31,N/A (fee-based),VND,N/A,as_needed,active,Hoàng Văn Phú,Corporate Banking Head,Hoàng Văn Em,COO,s3://kaori-vendors/NCC-MSB-2020-001.pdf,manual,Banking partner — long-term.
HD-NCC-2026-010,NCC-MS-2025-004,NCC-2026-009,Mediastep VN,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,one_off_project,"Q1-Q2 2025 ad campaign cho VinMart",2025-06-20,2025-07-01,2025-09-30,480000000,VND,30,milestone,closed,Bùi Thị Quyên,CEO,Hoàng Văn Em,COO,s3://kaori-vendors/NCC-MS-2025-004.pdf,manual,Closed — đã thanh toán đủ.
