vendor_id,vendor_name,contact_person,phone,email,tax_code,address,city,country,vendor_type,services_offered,industries_served,years_in_business,employees_count,annual_revenue_vnd,credit_rating,certifications,titles_awards,experience_summary,reliability_tier,first_contract_date,managed_by,note
NCC-2026-001,FPT Software JSC,Nguyễn Quốc Bảo,0901100001,bao.nguyen@fpt-software.com,0100002001,Bldg FPT Cầu Giấy Hà Nội,Hà Nội,VN,supplier,"Phần mềm; gia công; cloud","BĐS; Bán lẻ; Tài chính",37,40000,15000000000000,AAA,"CMMI L5; ISO 27001; ISO 9001","Forbes Top 1 IT VN","Đối tác phần mềm chiến lược 10+ năm. Đang triển khai module RAG + DocSage.",platinum,2018-04-12,proc1@kaori.local,Đối tác dài hạn — bundled SOW.
NCC-2026-002,VNG Cloud,Trần Văn Cảnh,0912200002,canh.tran@vngcloud.vn,0100002002,Sài Gòn Center Quận 1 TP.HCM,TP.HCM,VN,platform,"Cloud computing; CDN; AI/ML platform","Tech; E-commerce; Gaming",18,1200,5800000000000,AA,"ISO 27001; SOC 2 Type 2; PCI DSS","Top 3 Cloud VN 2024","Cloud provider thay thế cho FPT Cloud khi outage. Pricing competitive.",gold,2023-06-15,proc1@kaori.local,Backup provider — hợp đồng pay-as-you-go.
NCC-2026-003,Anthropic PBC,N/A (online vendor),N/A,sales@anthropic.com,N/A,548 Market St San Francisco CA,San Francisco,US,platform,"LLM API (Claude)","All",4,800,180000000000000,N/A (foreign),"SOC 2 Type 2",,"Vendor cho Claude 4.7 API. Pay-per-token billing.",gold,2025-10-01,proc2@kaori.local,Foreign vendor — billing USD qua wire.
NCC-2026-004,DataX Vietnam JSC (mới),Lê Thị Diệu,0934400004,dieu.le@datax.vn,0100002004,Quận 7 TP.HCM,TP.HCM,VN,consultant,"Data quality consulting; ETL audit","Bán lẻ; Tài chính",3,45,180000000000,B,"ISO 9001:2015",,"Vendor mới đề xuất audit DQ pipeline. Chưa có lịch sử cộng tác.",bronze,2026-04-01,proc2@kaori.local,Vendor mới — REVIEW kỹ trước khi sign.
NCC-2026-005,VinAI Research,Phạm Thanh Long,0945500005,long.pham@vinai.ai,0100002005,Times City T18 Hà Nội,Hà Nội,VN,supplier,"AI research; model fine-tuning; LLM hosting","Tự dùng nội bộ Vingroup",6,180,950000000000,AA,"ISO 27001",NeurIPS 2023 Best Paper,"Đơn vị nghiên cứu AI nội bộ Vingroup — đối tác cho fine-tune Qwen cho Vietnamese.",gold,2024-09-20,proc1@kaori.local,Đối tác chiến lược — pricing internal.
NCC-2026-006,SendGrid (Twilio),N/A,N/A,sales@sendgrid.com,N/A,375 Beale St San Francisco CA,San Francisco,US,platform,"Transactional email; marketing email","All",18,5000,68000000000000,A,"ISO 27001; SOC 2 Type 2; HIPAA",,"Email delivery provider. 99.95% SLA. Billed per email + dedicated IP.",gold,2022-11-08,proc2@kaori.local,Foreign vendor — billing USD.
NCC-2026-007,Saigon Logistics & Cargo,Đặng Văn Em,0956600007,em.dang@saigon-log.vn,0100002007,Bến Vân Đồn Quận 4 TP.HCM,TP.HCM,VN,supplier,"Vận chuyển; kho bãi","Bán lẻ; Sản xuất",22,850,2400000000000,A,"ISO 9001:2015",Top 100 Logistics VN 2022,"Đối tác giao hàng cho khách hàng VinMart KH-002.",gold,2023-02-14,proc1@kaori.local,Sub-vendor — bill thông qua hợp đồng VinMart.
NCC-2026-008,Maritime Bank Corporate,Hoàng Văn Phú,0967700008,phu.hoang@msb.com.vn,0100002008,Khâm Thiên Đống Đa Hà Nội,Hà Nội,VN,supplier,"Banking; trade finance; FX","Tập đoàn",30,8500,18000000000000,AAA,"Basel III compliant",Top 10 Bank Vietnam 2024,"Bank đối tác cho thanh toán quốc tế + FX hedging.",platinum,2020-04-30,proc1@kaori.local,Banking partner.
NCC-2026-009,Mediastep VN (agency),Bùi Thị Quyên,0978800009,quyen.bui@mediastep.vn,0100002009,Quận 3 TP.HCM,TP.HCM,VN,agency,"Marketing; branding; PR","Bán lẻ; Tiêu dùng",8,65,420000000000,B+,"Google Premier Partner",,"Agency chạy ads campaign cho VinMart Q1-Q2.",silver,2025-06-15,proc2@kaori.local,Ad-hoc agency — engagement-based.
NCC-2026-010,Unknown Vendor TBD,N/A,N/A,unknown@tbd.vn,,Chưa cập nhật,N/A,N/A,contractor,Chưa rõ,Chưa rõ,,,,N/A,,,Hồ sơ vendor thiếu — Procurement cần liên hệ bổ sung.,N/A,,proc2@kaori.local,HỒ SƠ THIẾU. KHÔNG được sign hợp đồng cho đến khi đầy đủ.
